Experiment,Accuracy,Sensitivity,Specificity,Auc,F1,Precision,Recall
baseline_accurate_v6,0.4940 (0.2809-0.7071),0.5628 (0.2472-0.8784),0.4640 (0.1079-0.8201),0.4893 (0.3492-0.6293),0.3619 (0.2366-0.4873),0.2906 (0.2123-0.3689),0.5628 (0.2472-0.8784)
baseline_accurate_v7,0.6403 (0.5437-0.7369),0.2388 (-0.0867-0.5642),0.7808 (0.5586-1.0029),0.5336 (0.4379-0.6293),0.2159 (-0.0054-0.4372),0.2411 (0.1264-0.3558),0.2388 (-0.0867-0.5642)
baseline_accurate_v8,0.5207 (0.3473-0.6942),0.4375 (0.1708-0.7042),0.5302 (0.2319-0.8285),0.4968 (0.3977-0.5959),0.3155 (0.1715-0.4595),0.2768 (0.1968-0.3567),0.4375 (0.1708-0.7042)
